Year,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959
ALB,76,69,77,77,,,88,92,81,68,58,50,60,55,70,70,72,75,66,,71,67,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALG,73,82,62,,,,,,104,,,,,,,,,,,,82,,,,72,,53,54,,36,36,21,29,28,30,27,,,,21,,,,,,,,,,,,,,,,,,
ARG,26,57,52,56,67,54,49,39,35,39,47,30,46,39,28,31,22,25,45,29,37,29,29,20,42,32,27,38,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,41,30,26,39,40,47,67,61,64,66,48,36,33,36,43,67,53,20,39,26,34,34,32,32,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,34,25,6,11,15,27,25,15,23,19,22,26,25,27,26,26,25,16,15,13,9,23,21,12,13,19,20,15,22,17,15,15,11,15,19,20,21,,,,,,,,,,,,,,,,,,,,,
AUT,70,46,60,51,48,50,36,47,59,57,42,42,40,59,59,56,55,39,29,48,43,42,43,31,22,31,18,15,24,15,13,13,17,16,22,16,4,12,9,12,5,6,6,8,7,7,12,,,,,,,,,,,
AZE,42,54,48,61,52,61,67,28,36,48,52,48,49,47,40,65,73,64,66,54,55,58,64,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAH,,,,,,,,,,,,,,,,,,,,,,,,,68,,55,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,62,52,56,59,44,38,43,60,38,59,45,52,40,42,37,52,68,53,54,39,41,31,47,34,37,23,22,,27,23,25,22,24,23,26,24,19,19,,19,,,,,,,,13,,,,,,,,,,
BEN,,,,98,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,26,35,33,53,61,54,72,69,58,75,80,80,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,18,18,29,37,38,19,20,21,19,14,9,21,11,5,1,4,4,5,5,2,7,11,6,4,3,15,7,9,7,8,7,7,4,2,9,9,5,13,7,6,4,7,11,12,10,12,7,6,9,6,6,8,5,6,6,6,4,4
BIH,44,45,43,51,63,45,62,49,61,50,52,41,55,70,43,62,51,29,43,33,62,57,69,61,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,14,35,39,34,22,24,31,27,10,26,19,23,18,13,19,14,12,7,6,19,17,21,26,23,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,94,,101,94,94,96,91,93,97,95,93,86,91,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,37,15,22,34,28,19,20,35,17,16,24,29,33,21,26,21,16,48,29,30,26,52,44,39,34,39,37,24,36,38,19,24,15,18,20,20,16,22,,,,,,,,,,,,,,,,,,,,
BRU,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,98,103,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
