year,location,name,school,medal,score,rank,team
1974,"Đông Đức, Erfurt",Hoàng Lê Minh,THPT chuyên KHTN ĐHQG HN,HCV,38/40,9,13/18 (146)
1974,,Vũ Đình Hòa,"THPT chuyên ĐH Sư phạm Hà Nội",HCB,31/40,32,
1974,,Tạ Hồng Quảng,"THPT chuyên ĐH Sư phạm Hà Nội",HCĐ,27/40,40,
1974,,"Đặng Hoàng Trung",THPT chuyên KHTN ĐHQG HN,HCĐ,28/40,39,
1974,,Nguyễn Quốc Thắng,THPT chuyên KHTN ĐHQG HN,Bằng khen,22/40,72,
1975,"Bulgaria, Burgas",Nguyễn Minh Đức,THPT chuyên KHTN ĐHQG HN,HCB,36/40,13,10/17 (175)
1975,,Phan Vũ Diễm Hằng,THPT chuyên KHTN ĐHQG HN,HCĐ,25/40,61,
1975,,Nguyễn Long,THPT chuyên KHTN ĐHQG HN,HCĐ,26/40,56,
1975,,Nguyễn Khánh Trọng,"THPT Chu Văn An, Hà Nội",HCĐ,30/40,34,
1975,,Lê Đình Long,"THPT chuyên ĐH Sư phạm Hà Nội",Không,,,
1975,,Lê Quang Tiến,THPT chuyên KHTN ĐHQG HN,Không,,,
1975,,Nguyễn Văn Sự,,Không,,,
1976,"Áo, Lienz",Nguyễn Thị Thiều Hoa,THPT chuyên KHTN ĐHQG HN,HCB,27/40,19,14/18 (112)
1976,,Lê Ngọc Chuyên,"THPT chuyên Đại học Vinh",HCĐ,19/40,55,
1976,,Lê Ngọc Minh,"THPT chuyên ĐH Sư phạm Hà Nội",HCĐ,16/40,75,
1976,,Nguyễn Hùng Sơn,"THPT Chu Văn An, Hà Nội",HCĐ,19/40,55,
1976,,Hà Huy Bảng,,Không,09/40,106,
1976,,Phan Thanh Diện,"THPT chuyên ĐH Sư phạm Hà Nội",Không,04/40,127,
1976,,Lê Hải Khôi,THPT chuyên KHTN ĐHQG HN,Không,13/40,90,
1976,,Nguyễn Văn Hạnh,,Không,05/40,124,
1978,"Rumani, Bucharest",Vũ Kim Tuấn,"THPT chuyên ĐH Sư phạm Hà Nội",HCB,,,04/17 (200)
1978,,Nguyễn Thanh Tùng,"THPT chuyên ĐH Sư phạm Hà Nội",HCB,,,
1978,,Hồ Đình Duẩn,THPT chuyên Quốc Học - Huế,HCĐ,,,
1978,,Lê Như Dương,"Thái Phiên, Hải Phòng",HCĐ,,,
